date,open,high,low,close,Volume LINK,Volume USDT,tradecount
3/21/2019 0:00,0.4818,0.4842,0.4342,0.4548,1043991.8,484257.1134,3146
3/20/2019 0:00,0.4796,0.4899,0.4737,0.4807,696146.28,335078.5495,2431
3/19/2019 0:00,0.476,0.48,0.4648,0.477,530734.59,250536.1022,2023
3/18/2019 0:00,0.4789,0.4833,0.467,0.4757,891826.09,422057.3388,2812
3/17/2019 0:00,0.4805,0.4887,0.4702,0.4785,1352126.73,645227.3942,5293
3/16/2019 0:00,0.4866,0.496,0.4681,0.4819,1768514.51,850597.4758,6478
3/15/2019 0:00,0.4858,0.496,0.4831,0.4858,577893.06,281897.9164,2521
3/14/2019 0:00,0.4814,0.4994,0.4722,0.4871,1720792.4,835254.8636,6103
3/13/2019 0:00,0.4872,0.488,0.4671,0.4805,1263356.68,602730.1774,4399
3/12/2019 0:00,0.4641,0.5079,0.4503,0.4876,2105182.67,1016416.429,5965
3/11/2019 0:00,0.4982,0.5181,0.4382,0.4629,2633054.21,1262800.852,7157
3/10/2019 0:00,0.4742,0.546,0.4681,0.4981,2887991.86,1456511.396,10121
3/9/2019 0:00,0.4611,0.4824,0.4524,0.4746,1381686.43,643096.0028,4288
3/8/2019 0:00,0.4521,0.5107,0.4519,0.4611,3248280.83,1570069.712,9622
3/7/2019 0:00,0.4296,0.4766,0.4256,0.4521,1498764.03,677393.5431,4029
3/6/2019 0:00,0.4291,0.4385,0.4186,0.4296,716328.15,305884.8094,2057
3/5/2019 0:00,0.4029,0.4343,0.4023,0.4291,1686179.9,703630.8977,4232
3/4/2019 0:00,0.4203,0.4255,0.3929,0.4036,946382.19,387502.9483,2834
3/3/2019 0:00,0.4232,0.4292,0.4177,0.4205,225429.95,95660.21647,911
3/2/2019 0:00,0.4286,0.4372,0.4173,0.4221,331570,140599.974,1133
3/1/2019 0:00,0.4236,0.4386,0.4203,0.4285,560690.81,239706.0481,1648
2/28/2019 0:00,0.4274,0.45,0.4166,0.4244,1059968.13,455311.56,2857
2/27/2019 0:00,0.4335,0.4412,0.4145,0.4274,854212.45,365787.4184,2137
2/26/2019 0:00,0.4722,0.474,0.43,0.4341,1775526.67,796546.5868,4223
2/25/2019 0:00,0.4047,0.4749,0.4007,0.4723,1785356.21,783690.7505,4943
2/24/2019 0:00,0.4592,0.4644,0.3975,0.405,2154193.25,917345.2756,4851
2/23/2019 0:00,0.448,0.464,0.4437,0.4585,925529.64,419693.7273,2632
2/22/2019 0:00,0.4438,0.465,0.44,0.4479,700523.77,313850.8636,2334
2/21/2019 0:00,0.4617,0.475,0.438,0.4438,1443214.98,655875.7907,4183
2/20/2019 0:00,0.4548,0.4748,0.4432,0.4618,1358786.28,625130.767,3853
2/19/2019 0:00,0.471,0.4789,0.452,0.4598,1548002.44,724054.883,4036
2/18/2019 0:00,0.4615,0.4823,0.4534,0.471,1430254.78,671573.6586,4250
2/17/2019 0:00,0.4386,0.4797,0.4317,0.4604,1616509.72,740396.471,4667
2/16/2019 0:00,0.4366,0.4464,0.4251,0.4398,465491.58,203941.2721,1988
2/15/2019 0:00,0.4235,0.45,0.4222,0.4342,612251.8,264659.8495,2328
2/14/2019 0:00,0.4422,0.4442,0.4203,0.4259,942053.44,407685.9414,3034
2/13/2019 0:00,0.4277,0.4454,0.4183,0.4411,935377.38,400576.9909,2886
2/12/2019 0:00,0.4277,0.4374,0.4176,0.4277,941303.58,400668.7604,2718
2/11/2019 0:00,0.4495,0.4515,0.42,0.4289,1580197.39,685555.8726,4364
2/10/2019 0:00,0.4648,0.48,0.4325,0.4499,2000850.55,913391.6196,5046
2/9/2019 0:00,0.4371,0.4844,0.431,0.4612,1384815.95,637171.0454,4320
2/8/2019 0:00,0.4021,0.45,0.3985,0.4383,2015969.58,859693.2986,5194
2/7/2019 0:00,0.4,0.4065,0.3913,0.4021,498842.36,199193.7825,1770
2/6/2019 0:00,0.4224,0.4236,0.3915,0.4,1368546.21,552819.6212,3815
2/5/2019 0:00,0.3926,0.4327,0.3902,0.4224,1299107.03,532341.1039,3411
2/4/2019 0:00,0.3959,0.4125,0.3867,0.3943,1449384.96,579009.5831,2746
2/3/2019 0:00,0.417,0.417,0.386,0.3963,1065170.56,424303.9717,2400
2/2/2019 0:00,0.4163,0.433,0.3985,0.4136,821033.48,340840.3312,2351
2/1/2019 0:00,0.385,0.43,0.38,0.4147,1899232.56,768342.4673,3972
1/31/2019 0:00,0.425,0.441,0.3811,0.3832,2029033.61,826552.0302,4899
1/30/2019 0:00,0.4505,0.4514,0.413,0.4249,2092369.59,897815.1269,5128
1/29/2019 0:00,0.4104,0.4638,0.4061,0.4505,5190825.37,2252399.736,10723
1/28/2019 0:00,0.431,0.4313,0.3504,0.4116,4006211.85,1540777.019,7036
1/27/2019 0:00,0.4661,0.4666,0.4229,0.4303,2278919.65,1004304.902,4757
1/26/2019 0:00,0.4736,0.4884,0.4624,0.4661,865653.89,410185.8216,2529
1/25/2019 0:00,0.5031,0.5157,0.4712,0.4739,1112869.08,544844.8441,3319
1/24/2019 0:00,0.5046,0.5065,0.4518,0.5017,1529219.53,745639.1277,3970
1/23/2019 0:00,0.5342,0.5475,0.4901,0.5046,1827069.39,940352.2978,4592
1/22/2019 0:00,0.496,0.5656,0.4956,0.5344,1784953.5,955513.881,4972
1/21/2019 0:00,0.4839,0.5198,0.465,0.4972,897787.84,446086.7876,3020
1/20/2019 0:00,0.4803,0.492,0.459,0.4834,677499.56,323333.5538,2098
1/19/2019 0:00,0.4908,0.5,0.4673,0.4831,735443.2,354090.041,4482
1/18/2019 0:00,0.4762,0.5112,0.4601,0.4894,984417.59,474999.2862,5662
1/17/2019 0:00,0.4895,0.4953,0.4639,0.4756,1411725.35,673447.2086,3987
1/16/2019 0:00,0.5355,0.5355,0.4668,0.4895,1343660.31,665013.6444,3492
